SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_11,a,Right,1.65231127399369,1,-55,12,r,1
AFCdata_11,a,Right,1.65231127399369,2,-3,2,l,0
AFCdata_11,a,Right,1.65231127399369,3,22,32,r,1
AFCdata_11,a,Right,1.65231127399369,4,63,42,r,1
AFCdata_11,a,Right,1.65231127399369,5,-53,-38,r,1
AFCdata_11,a,Right,1.65231127399369,6,-56,-18,l,0
AFCdata_11,a,Right,1.65231127399369,7,-24,-28,l,0
AFCdata_11,a,Right,1.65231127399369,8,-6,-8,l,0
AFCdata_11,a,Right,1.65231127399369,9,-48,22,r,1
AFCdata_11,a,Right,1.65231127399369,10,-10,-18,l,0
AFCdata_11,a,Right,1.65231127399369,11,-1,32,r,1
AFCdata_11,a,Right,1.65231127399369,12,-9,-8,l,0
AFCdata_11,a,Right,1.65231127399369,13,-51,-38,l,0
AFCdata_11,a,Right,1.65231127399369,14,33,22,r,1
AFCdata_11,a,Right,1.65231127399369,15,-10,42,r,1
AFCdata_11,a,Right,1.65231127399369,16,-42,12,r,1
AFCdata_11,a,Right,1.65231127399369,17,49,2,l,0
AFCdata_11,a,Right,1.65231127399369,18,-18,-28,l,0
AFCdata_11,a,Right,1.65231127399369,19,39,-18,l,0
AFCdata_11,a,Right,1.65231127399369,20,-47,-8,l,0
AFCdata_11,a,Right,1.65231127399369,21,-39,42,r,1
AFCdata_11,a,Right,1.65231127399369,22,-42,32,r,1
AFCdata_11,a,Right,1.65231127399369,23,-37,2,l,0
AFCdata_11,a,Right,1.65231127399369,24,-55,-38,l,0
AFCdata_11,a,Right,1.65231127399369,25,-24,22,r,1
AFCdata_11,a,Right,1.65231127399369,26,20,12,l,0
AFCdata_11,a,Right,1.65231127399369,27,-56,-28,l,0
AFCdata_11,a,Right,1.65231127399369,28,-61,12,r,1
AFCdata_11,a,Right,1.65231127399369,29,27,-38,l,0
AFCdata_11,a,Right,1.65231127399369,30,84,42,r,1
AFCdata_11,a,Right,1.65231127399369,31,37,-28,l,0
AFCdata_11,a,Right,1.65231127399369,32,102,-8,l,0
AFCdata_11,a,Right,1.65231127399369,33,23,-18,l,0
AFCdata_11,a,Right,1.65231127399369,34,17,2,l,0
AFCdata_11,a,Right,1.65231127399369,35,26,22,r,1
AFCdata_11,a,Right,1.65231127399369,36,47,32,r,1
AFCdata_11,a,Right,1.65231127399369,37,-68,-28,l,0
AFCdata_11,a,Right,1.65231127399369,38,90,-18,l,0
AFCdata_11,a,Right,1.65231127399369,39,52,2,l,0
AFCdata_11,a,Right,1.65231127399369,40,36,12,l,0
AFCdata_11,a,Right,1.65231127399369,41,46,42,r,1
AFCdata_11,a,Right,1.65231127399369,42,26,-38,l,0
AFCdata_11,a,Right,1.65231127399369,43,46,22,r,1
AFCdata_11,a,Right,1.65231127399369,44,-15,-8,l,0
AFCdata_11,a,Right,1.65231127399369,45,15,32,r,1
AFCdata_11,a,Right,1.65231127399369,46,21,22,l,0
AFCdata_11,a,Right,1.65231127399369,47,12,-8,l,0
AFCdata_11,a,Right,1.65231127399369,48,5,2,l,0
AFCdata_11,a,Right,1.65231127399369,49,-40,-38,l,0
AFCdata_11,a,Right,1.65231127399369,50,88,42,r,1
AFCdata_11,a,Right,1.65231127399369,51,76,32,r,1
AFCdata_11,a,Right,1.65231127399369,52,-44,-18,l,0
AFCdata_11,a,Right,1.65231127399369,53,-99,-28,l,0
AFCdata_11,a,Right,1.65231127399369,54,60,12,l,0
AFCdata_11,a,Right,1.65231127399369,55,27,-8,l,0
AFCdata_11,a,Right,1.65231127399369,56,-52,12,r,1
AFCdata_11,a,Right,1.65231127399369,57,37,32,r,1
AFCdata_11,a,Right,1.65231127399369,58,37,22,r,1
AFCdata_11,a,Right,1.65231127399369,59,-74,-38,l,0
AFCdata_11,a,Right,1.65231127399369,60,-40,-28,l,0
AFCdata_11,a,Right,1.65231127399369,61,-48,2,r,1
AFCdata_11,a,Right,1.65231127399369,62,-1,42,r,1
AFCdata_11,a,Right,1.65231127399369,63,44,-18,l,0
AFCdata_11,a,Right,1.65231127399369,64,13,22,r,1
AFCdata_11,a,Right,1.65231127399369,65,-33,32,r,1
AFCdata_11,a,Right,1.65231127399369,66,-34,-8,l,0
AFCdata_11,a,Right,1.65231127399369,67,-9,-18,l,0
AFCdata_11,a,Right,1.65231127399369,68,64,-28,l,0
AFCdata_11,a,Right,1.65231127399369,69,-3,-38,l,0
AFCdata_11,a,Right,1.65231127399369,70,52,42,r,1
AFCdata_11,a,Right,1.65231127399369,71,43,2,l,0
AFCdata_11,a,Right,1.65231127399369,72,-19,12,l,0
AFCdata_11,a,Right,1.65231127399369,73,-80,12,r,1
AFCdata_11,a,Right,1.65231127399369,74,-50,-28,l,0
AFCdata_11,a,Right,1.65231127399369,75,-14,42,r,1
AFCdata_11,a,Right,1.65231127399369,76,58,32,r,1
AFCdata_11,a,Right,1.65231127399369,77,44,-8,l,0
AFCdata_11,a,Right,1.65231127399369,78,10,-38,l,0
AFCdata_11,a,Right,1.65231127399369,79,-12,22,r,1
AFCdata_11,a,Right,1.65231127399369,80,-24,2,l,0
AFCdata_11,a,Right,1.65231127399369,81,-47,-18,l,0
AFCdata_11,a,Right,1.65231127399369,82,-3,2,r,1
AFCdata_11,a,Right,1.65231127399369,83,67,32,r,1
AFCdata_11,a,Right,1.65231127399369,84,-26,-38,l,0
AFCdata_11,a,Right,1.65231127399369,85,-13,42,r,1
AFCdata_11,a,Right,1.65231127399369,86,60,22,l,0
AFCdata_11,a,Right,1.65231127399369,87,18,12,l,0
AFCdata_11,a,Right,1.65231127399369,88,-15,-28,l,0
AFCdata_11,a,Right,1.65231127399369,89,6,-18,l,0
AFCdata_11,a,Right,1.65231127399369,90,-22,-8,l,0
AFCdata_11,a,Right,1.65231127399369,91,24,12,r,1
AFCdata_11,a,Right,1.65231127399369,92,-40,-18,l,0
AFCdata_11,a,Right,1.65231127399369,93,-36,32,r,1
AFCdata_11,a,Right,1.65231127399369,94,-37,22,r,1
AFCdata_11,a,Right,1.65231127399369,95,-7,42,r,1
AFCdata_11,a,Right,1.65231127399369,96,-92,-38,l,0
AFCdata_11,a,Right,1.65231127399369,97,-38,-8,r,1
AFCdata_11,a,Right,1.65231127399369,98,-18,2,r,1
AFCdata_11,a,Right,1.65231127399369,99,-50,-28,l,0
AFCdata_11,a,Right,1.65231127399369,100,43,42,r,1
AFCdata_11,a,Right,1.65231127399369,101,-44,-8,l,0
AFCdata_11,a,Right,1.65231127399369,102,59,22,l,0
AFCdata_11,a,Right,1.65231127399369,103,112,32,l,0
AFCdata_11,a,Right,1.65231127399369,104,60,2,l,0
AFCdata_11,a,Right,1.65231127399369,105,-12,-28,l,0
AFCdata_11,a,Right,1.65231127399369,106,-6,-38,l,0
AFCdata_11,a,Right,1.65231127399369,107,17,12,r,1
AFCdata_11,a,Right,1.65231127399369,108,-58,-18,l,0
AFCdata_11,a,Right,1.65231127399369,109,71,-28,l,0
AFCdata_11,a,Right,1.65231127399369,110,-31,-18,l,0
AFCdata_11,a,Right,1.65231127399369,111,4,2,l,0
AFCdata_11,a,Right,1.65231127399369,112,81,22,r,1
AFCdata_11,a,Right,1.65231127399369,113,-29,42,r,1
AFCdata_11,a,Right,1.65231127399369,114,-48,-38,l,0
