SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_26,b,Left,0,1,14,20,l,1
AFCdata_26,b,Left,0,2,-22,30,l,1
AFCdata_26,b,Left,0,3,35,10,r,0
AFCdata_26,b,Left,0,4,-45,-30,r,0
AFCdata_26,b,Left,0,5,18,-20,r,0
AFCdata_26,b,Left,0,6,15,40,l,1
AFCdata_26,b,Left,0,7,-12,0,r,0
AFCdata_26,b,Left,0,8,36,-10,r,0
AFCdata_26,b,Left,0,9,-62,-40,r,0
AFCdata_26,b,Left,0,10,-33,10,r,0
AFCdata_26,b,Left,0,11,-56,-20,r,0
AFCdata_26,b,Left,0,12,-4,0,r,0
AFCdata_26,b,Left,0,13,46,30,l,1
AFCdata_26,b,Left,0,14,-25,20,l,1
AFCdata_26,b,Left,0,15,-18,-30,r,0
AFCdata_26,b,Left,0,16,-13,40,l,1
AFCdata_26,b,Left,0,17,-10,-10,r,0
AFCdata_26,b,Left,0,18,-109,-40,r,0
AFCdata_26,b,Left,0,19,0,10,l,1
AFCdata_26,b,Left,0,20,-58,-10,r,0
AFCdata_26,b,Left,0,21,26,0,r,0
AFCdata_26,b,Left,0,22,-57,-20,r,0
AFCdata_26,b,Left,0,23,78,40,l,1
AFCdata_26,b,Left,0,24,30,20,r,0
AFCdata_26,b,Left,0,25,-4,30,l,1
AFCdata_26,b,Left,0,26,29,-40,r,0
AFCdata_26,b,Left,0,27,-30,-30,r,0
AFCdata_26,b,Left,0,28,51,20,r,0
AFCdata_26,b,Left,0,29,0,0,r,0
AFCdata_26,b,Left,0,30,-20,-20,r,0
AFCdata_26,b,Left,0,31,40,40,l,1
AFCdata_26,b,Left,0,32,-23,-40,r,0
AFCdata_26,b,Left,0,33,38,30,r,0
AFCdata_26,b,Left,0,34,-91,-10,r,0
AFCdata_26,b,Left,0,35,23,-30,r,0
AFCdata_26,b,Left,0,36,28,10,r,0
AFCdata_26,b,Left,0,37,-6,30,l,1
AFCdata_26,b,Left,0,38,45,40,l,1
AFCdata_26,b,Left,0,39,-31,-30,r,0
AFCdata_26,b,Left,0,40,-3,-10,r,0
AFCdata_26,b,Left,0,41,-40,-40,r,0
AFCdata_26,b,Left,0,42,-12,-20,r,0
AFCdata_26,b,Left,0,43,8,20,r,0
AFCdata_26,b,Left,0,44,-37,10,r,0
AFCdata_26,b,Left,0,45,-15,0,r,0
AFCdata_26,b,Left,0,46,20,10,r,0
AFCdata_26,b,Left,0,47,9,0,r,0
AFCdata_26,b,Left,0,48,-92,-20,r,0
AFCdata_26,b,Left,0,49,-50,-30,r,0
AFCdata_26,b,Left,0,50,16,-40,r,0
AFCdata_26,b,Left,0,51,52,30,l,1
AFCdata_26,b,Left,0,52,80,20,r,0
AFCdata_26,b,Left,0,53,13,40,l,1
AFCdata_26,b,Left,0,54,49,-10,r,0
AFCdata_26,b,Left,0,55,41,-30,r,0
AFCdata_26,b,Left,0,56,-42,-40,r,0
AFCdata_26,b,Left,0,57,30,30,l,1
AFCdata_26,b,Left,0,58,10,10,l,1
AFCdata_26,b,Left,0,59,20,20,l,1
AFCdata_26,b,Left,0,60,-79,-10,r,0
AFCdata_26,b,Left,0,61,-2,-20,r,0
AFCdata_26,b,Left,0,62,4,0,r,0
AFCdata_26,b,Left,0,63,73,40,l,1
AFCdata_26,b,Left,0,64,-81,-40,r,0
AFCdata_26,b,Left,0,65,-20,-20,r,0
AFCdata_26,b,Left,0,66,11,30,l,1
AFCdata_26,b,Left,0,67,21,20,l,1
AFCdata_26,b,Left,0,68,23,-0,r,0
AFCdata_26,b,Left,0,69,41,40,l,1
AFCdata_26,b,Left,0,70,-62,-30,r,0
AFCdata_26,b,Left,0,71,-4,10,r,0
AFCdata_26,b,Left,0,72,-21,-10,r,0
AFCdata_26,b,Left,0,73,20,20,r,0
AFCdata_26,b,Left,0,74,35,10,r,0
AFCdata_26,b,Left,0,75,-8,-20,r,0
AFCdata_26,b,Left,0,76,6,30,l,1
AFCdata_26,b,Left,0,77,-25,-10,r,0
AFCdata_26,b,Left,0,78,-76,-40,r,0
AFCdata_26,b,Left,0,79,42,40,r,0
AFCdata_26,b,Left,0,80,-37,-30,r,0
AFCdata_26,b,Left,0,81,15,-0,r,0
AFCdata_26,b,Left,0,82,-6,30,l,1
AFCdata_26,b,Left,0,83,-3,20,r,0
AFCdata_26,b,Left,0,84,-39,-30,r,0
AFCdata_26,b,Left,0,85,32,-40,r,0
AFCdata_26,b,Left,0,86,-85,-10,r,0
AFCdata_26,b,Left,0,87,-34,-0,r,0
AFCdata_26,b,Left,0,88,10,10,r,0
AFCdata_26,b,Left,0,89,48,40,l,1
AFCdata_26,b,Left,0,90,-31,-20,r,0
AFCdata_26,b,Left,0,91,-4,-30,r,0
AFCdata_26,b,Left,0,92,-10,-10,r,0
AFCdata_26,b,Left,0,93,-28,-20,r,0
AFCdata_26,b,Left,0,94,34,30,r,0
AFCdata_26,b,Left,0,95,-32,40,l,1
AFCdata_26,b,Left,0,96,-40,-40,r,0
AFCdata_26,b,Left,0,97,-31,-0,r,0
AFCdata_26,b,Left,0,98,-67,20,l,1
AFCdata_26,b,Left,0,99,-5,10,r,0
AFCdata_26,b,Left,0,100,55,30,r,0
AFCdata_26,b,Left,0,101,46,-20,r,0
AFCdata_26,b,Left,0,102,19,10,r,0
AFCdata_26,b,Left,0,103,17,-40,r,0
AFCdata_26,b,Left,0,104,67,-10,r,0
AFCdata_26,b,Left,0,105,58,20,r,0
AFCdata_26,b,Left,0,106,11,-30,r,0
AFCdata_26,b,Left,0,107,-0,-0,r,0
AFCdata_26,b,Left,0,108,40,40,l,1
AFCdata_26,b,Left,0,109,81,-20,r,0
AFCdata_26,b,Left,0,110,-4,20,r,0
AFCdata_26,b,Left,0,111,-29,10,r,0
AFCdata_26,b,Left,0,112,3,40,l,1
AFCdata_26,b,Left,0,113,-29,-0,r,0
AFCdata_26,b,Left,0,114,-1,-10,r,0
AFCdata_26,b,Left,0,115,30,30,l,1
AFCdata_26,b,Left,0,116,-22,-40,r,0
AFCdata_26,b,Left,0,117,18,-30,r,0
AFCdata_26,b,Left,0,118,-27,-20,r,0
