SID,Test,TestLimb,BslDiff,StartTime,TestLen,Trial_num,AllStarts,AllStims,SelectedStims,AllResponses,BinaryResponses,Alpha_EV,Beta_EV,StartSpeeds,StimSpeeds
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,1,-109,6,0,right,0,18.1523471418346,19.0872038337567,49,26
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,2,-103,16,0,left,1,9.00190993627312,21.1286707518033,45,21
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,3,110,6,0,right,0,12.8376027720908,18.2103614754209,46,14
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,4,-100,16,0,right,0,18.0536809915125,23.0440379658972,45,21
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,5,-103,26,0,right,0,23.5869071029922,28.7247152366792,50,25
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,6,109,106,1,left,1,23.4671944845096,28.1045576594892,45,26
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,7,-104,-4,0,right,0,24.8311092185199,25.7188200991949,43,19
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,8,-105,46,0,left,1,23.3268999464234,23.6985930676677,45,29
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,9,-106,36,1,left,1,21.5435628431168,21.9050244771767,45,12
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,10,109,6,0,left,1,16.2128806494279,29.9502236797991,44,24
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,11,-108,-14,0,right,0,17.2880625938275,27.8395104660528,47,26
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,12,-105,6,1,right,0,19.0137096993303,26.1148277688714,48,21
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,13,102,46,0,left,1,18.1992338755982,24.4572302434114,42,30
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,14,109,-4,0,left,1,13.8167966170086,32.8132415417012,50,14
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,15,100,-24,0,right,0,14.5356674406718,31.1259812258685,40,24
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,16,113,6,1,left,1,11.7390553534152,32.8882267356668,40,23
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,17,110,-24,0,right,0,12.4143242653223,31.2486084652781,41,22
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,18,114,46,0,left,1,11.7547664320658,29.7451679586077,47,29
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,19,-108,106,1,left,1,11.7047940235317,29.4635613849901,48,14
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,20,-106,-24,0,right,0,12.243997591514,28.1664927713473,48,26
TRTPSI_05,b,Left,-6.21902856429078,25-Jul-2022 18:53:47,1078.8720206,21,116,36,1,left,1,11.4456959855241,26.8325377424038,42,19
