SID,Test,TestLimb,BslDiff,StartTime,TestLen,Trial_num,AllStarts,AllStims,SelectedStims,AllResponses,BinaryResponses,Alpha_EV,Beta_EV,StartSpeeds,StimSpeeds
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,1,68,0,NaN,right,0,12.1523471418347,19.0872038337568,37,10
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,2,6,10,NaN,left,1,6.83760277209084,18.2103614754209,10,33
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,3,38,10,NaN,left,1,4.48646035604777,9.46337753175276,33,48
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,4,-24,0,NaN,left,1,0.991538353694579,12.8046526243021,48,30
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,5,25,-10,NaN,right,0,0.80208354496444,8.55769855066508,30,11
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,6,25,-10,NaN,right,0,0.970386252582982,5.49707350996541,11,37
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,7,6,0,NaN,right,0,1.17734421185712,4.28020994462066,37,23
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,8,-19,0,NaN,right,0,1.4168709040062,3.75719078694101,23,47
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,9,51,30,NaN,left,1,1.5335606381003,3.50240774124455,47,40
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,10,21,-100,NaN,right,0,1.59995954927253,3.34330239904407,40,17
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,11,-2,0,NaN,left,1,1.45752568527788,3.30367365834108,17,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,12,-87,0,NaN,right,0,1.43468336658578,3.248818510251,14,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,13,-28,0,NaN,right,0,1.47443015103357,3.18229025407767,14,39
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,14,-75,0,NaN,left,1,1.4007608455365,3.17086751975373,39,35
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,15,108,100,NaN,left,1,1.34593665702195,3.15716279479742,35,18
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,16,-49,0,NaN,right,0,1.33624417750901,3.12408208507406,18,28
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,17,-51,-30,NaN,right,0,1.32387367682039,3.09078582052333,28,22
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,18,-30,0,NaN,left,1,1.2664742472769,3.09951024314992,22,46
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,19,44,0,NaN,right,0,1.24000088230431,3.08589633914899,46,35
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,20,-87,0,NaN,left,1,1.18592398417164,3.10808055272651,35,42
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,21,-9,0,NaN,left,1,1.1190120499692,3.16208014350506,42,27
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,22,9,0,NaN,right,0,1.08218533649404,3.19424790037166,27,38
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,23,-66,0,NaN,left,1,1.03842365245695,3.25526041512414,38,42
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,24,79,0,NaN,right,0,1.01667796766636,3.29625519054586,42,19
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,25,-41,0,NaN,left,1,0.987816815711466,3.35648248884945,19,45
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,26,13,-40,NaN,right,0,0.963875499450811,3.40438466352884,45,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,27,-9,0,NaN,left,1,0.921604771502085,3.43852863035427,14,23
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,28,3,0,NaN,left,1,0.835038776207688,3.39628008316912,23,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,29,-91,0,NaN,left,1,0.655994122064179,3.15760433484602,14,10
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,30,-48,0,NaN,left,1,0.378168930062779,2.66218930944888,10,28
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,31,-25,0,NaN,left,1,0.140993003690398,2.17499947725644,28,45
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,32,107,0,NaN,left,1,0.0364274720193889,1.93444898965005,45,38
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,33,41,0,NaN,left,1,0.00743850534816327,1.85563056142409,38,20
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,34,17,-90,NaN,right,0,0.00155638915099409,1.83106105422779,20,22
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,35,19,10,NaN,left,1,0.000310575882871526,1.81622725941758,22,16
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,36,47,10,NaN,left,1,2.86058384984246e-05,1.8024928570572,16,36
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,37,-86,-100,NaN,right,0,-5.99938797728136e-05,1.79018804496059,36,17
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,38,-76,-10,NaN,left,1,-0.00475134770607936,4.10368215258502,17,11
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,39,58,-10,NaN,right,0,-0.0315898178494879,4.56969324278446,11,20
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,40,62,-10,NaN,right,0,-0.127630886537332,4.90877059475989,20,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,41,-43,-10,NaN,right,0,-0.344478059405394,5.18851728804314,14,18
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,42,-27,-10,NaN,left,1,-0.740268503637574,5.61112561892915,18,41
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,43,46,-30,NaN,right,0,-0.921861496949172,5.87034372331366,41,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,44,-81,-10,NaN,left,1,-0.9841179134436,6.20479344208733,14,14
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,45,27,-10,NaN,left,1,-1.00876442053098,6.61885516020582,14,17
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,46,-83,-40,NaN,right,0,-1.0607436604999,7.00254195714449,17,19
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,47,60,-10,NaN,right,0,-1.2080579347791,7.37266562999039,19,40
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,48,-66,-90,NaN,right,0,-1.47662372622884,7.73328716098928,40,41
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,49,8,-10,NaN,right,0,-1.73085630680457,8.00762629970996,41,21
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,50,57,-10,NaN,right,0,-1.87939003721535,8.18765171629095,21,32
PSItest_24,b,Left,-0.216486665471063,21-Jun-2022 15:00:09,872.6328763,51,47,-10,NaN,right,0,-1.94982530038838,8.30835336365334,32,49
