SID,Test,TestLimb,BslDiff,StartTime,TestLen,Trial_num,AllStarts,AllStims,SelectedStims,AllResponses,BinaryResponses,Alpha_EV,Beta_EV,StartSpeeds,StimSpeeds
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,1,-101,-1,0,right,0,11.1523471418346,19.0872038337567,49,12
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,2,106,9,0,right,0,18.5876590020771,17.4283822007512,50,18
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,3,102,19,0,left,1,11.4460742133781,18.3998097775112,48,20
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,4,-99,9,0,right,0,14.7562506365368,15.3201854612475,44,23
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,5,-92,19,0,left,1,12.5610342304957,12.8976572567857,40,19
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,6,98,9,0,right,0,14.2875499493264,9.91761615990674,47,10
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,7,-105,39,1,left,1,14.0092388762765,8.64896711297617,47,21
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,8,97,-101,1,right,0,14.0299623711633,8.57040633665623,40,20
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,9,95,19,0,left,1,13.1956844112455,6.79626529516318,47,27
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,10,100,9,0,left,1,9.32115011457814,15.2471926902134,48,25
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,11,94,-1,0,right,0,10.5357601342079,12.5442028610945,49,23
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,12,-103,-1,0,left,1,6.12859389322379,24.9933934594471,47,14
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,13,-104,-21,1,right,0,7.07271230988251,22.7649441608197,47,18
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,14,-97,-11,0,right,0,8.05666545750707,20.6102993008304,47,18
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,15,-84,-11,0,left,1,4.18862280692787,30.4019509310467,42,16
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,16,-94,-31,0,right,0,4.84739949275081,28.6177967302082,45,14
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,17,-100,-91,1,right,0,4.91466417167256,28.2894061939066,46,10
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,18,103,-21,0,right,0,5.6361513372677,26.6011039563678,41,20
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,19,-96,29,0,left,1,4.8632200472817,24.9887563322884,46,21
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,20,-108,-21,1,right,0,5.42887948270614,23.6110846524067,48,14
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,21,-103,29,0,left,1,4.81706832432659,22.3075989955596,45,16
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,22,-101,29,0,left,1,4.33151536548937,21.1940486943451,42,20
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,23,96,29,1,right,0,7.21892193052756,28.2717233762785,43,24
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,24,-102,-21,0,left,1,3.80189381338998,35.6558028621052,45,29
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,25,95,-41,0,right,0,4.26419769787793,34.3929749303511,47,26
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,26,100,-41,0,right,0,4.65532792030978,33.269997424475,42,28
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,27,-94,49,0,left,1,4.27231084524096,32.2214005919912,46,27
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,28,-105,-11,1,right,0,5.25651615089981,31.1981062290302,46,23
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,29,-101,39,0,left,1,4.7723273066841,30.1358875705189,41,23
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,30,-110,-31,0,right,0,5.17634725489842,29.1981434042965,46,30
TRTPSI_1,6,Left,1.37580974872901,29-Aug-2022 12:49:27,1361.8420439,31,101,19,1,right,0,7.21666110496262,31.1217943910933,43,21
