SID,Test,TestLimb,BslDiff,StartTime,TestLen,Trial_num,AllStarts,AllStims,SelectedStims,AllResponses,BinaryResponses,Alpha_EV,Beta_EV,StartSpeeds,StimSpeeds
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,1,101,0,0,left,1,-12.1523471418346,19.0872038337567,46,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,2,101,-10,0,right,0,-3.00190993627311,21.1286707518033,45,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,3,103,0,0,left,1,-6.83760277209084,18.2103614754209,50,43
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,4,-99,-10,0,left,1,-12.0536809915125,23.0440379658972,49,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,5,-102,-20,0,right,0,-9.5144284957692,20.4371186666083,40,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,6,94,0,0,right,0,-4.20827362508027,29.3281743861611,46,40
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,7,-101,-10,1,left,1,-7.88525020239523,30.9379422074788,43,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,8,-97,20,0,left,1,-9.08595060428897,28.3249313491403,48,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,9,101,-30,0,right,0,-7.85408517587701,25.9362948486773,41,40
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,10,-95,20,0,left,1,-8.71763711757251,23.8096307475877,49,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,11,99,-40,1,right,0,-8.12894596219155,22.1597806940674,44,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,12,97,10,0,left,1,-9.0781981043571,20.2874423257507,41,50
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,13,101,-30,0,right,0,-8.34957767475647,18.7331028280592,42,43
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,14,110,100,1,left,1,-8.36916473254542,18.6390723148134,50,45
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,15,97,10,0,left,1,-9.03712371316693,17.2428808712641,46,42
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,16,99,-20,0,right,0,-8.04725803871591,15.9331228319288,45,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,17,99,-20,0,right,0,-7.30425010580154,14.8027192144471,46,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,18,101,10,0,left,1,-7.78497089959514,13.8152934182807,41,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,19,100,-20,0,right,0,-7.22151038776491,12.9322775537397,45,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,20,-97,-30,1,right,0,-7.0515161339808,12.4048511268759,48,43
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,21,96,10,0,left,1,-7.40145389751934,11.7587411486522,41,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,22,102,0,0,right,0,-5.35495723897638,13.6686473120626,42,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,23,-102,10,0,left,1,-5.73899442607395,12.9664625687133,43,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,24,106,-40,1,right,0,-5.67699051140582,12.7319675497863,43,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,25,101,-20,1,right,0,-5.34110143653634,12.1854205865379,49,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,26,103,10,0,left,1,-5.63841881990448,11.686388790399,49,42
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,27,-101,-20,0,right,0,-5.36167506507421,11.2550887940591,45,42
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,28,105,10,0,left,1,-5.59804971303666,10.871221057757,42,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,29,-102,-20,0,right,0,-5.3669748103123,10.5278274733849,48,43
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,30,-96,10,1,left,1,-5.55931715788131,10.2274997079409,41,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,31,99,20,1,left,1,-5.60589884118488,10.1085692826418,42,45
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,32,-92,90,1,left,1,-5.6060106250719,10.1078136395259,46,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,33,99,-10,0,right,0,-5.00065245357331,9.82306464639677,43,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,34,94,-10,0,right,0,-4.48276546437977,9.54802078648621,47,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,35,100,0,0,left,1,-4.99643006831969,9.27911754408507,40,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,36,-96,-10,0,right,0,-4.55056300417908,9.01677910292029,45,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,37,-107,0,1,right,0,-3.51287517769206,9.61939989424184,48,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,38,-102,10,0,left,1,-3.66290229061799,9.37900249704963,41,50
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,39,101,-100,1,right,0,-3.66288353862789,9.37876454138036,45,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,40,-93,-10,0,right,0,-3.32550131295304,9.11481025595027,42,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,41,-103,10,0,left,1,-3.45446709758754,8.91039836118771,43,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,42,-105,-10,0,right,0,-3.16103451579892,8.67269703319725,45,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,43,-100,-10,0,right,0,-2.9043008621983,8.454284111906,43,50
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,44,-104,-10,1,right,0,-2.67871637279409,8.25370652591734,46,45
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,45,-101,10,0,left,1,-2.79144340954025,8.08978556363246,46,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,46,-97,10,0,left,1,-2.89004592931669,7.94440437032745,42,45
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,47,-95,-10,0,right,0,-2.69137687460711,7.77023551079331,40,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,48,103,0,0,left,1,-3.06660791816203,7.61370753211521,49,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,49,-97,10,1,left,1,-3.13815801184915,7.50088053119081,43,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,50,-93,-10,0,right,0,-2.96083965099783,7.34333259610722,40,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,51,-100,100,1,left,1,-2.96084018912066,7.34332914170564,50,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,52,-100,0,0,right,0,-2.33073186378856,7.62815032298622,45,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,53,-106,-10,1,left,1,-3.10104580459015,8.41704250461788,46,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,54,-102,10,0,right,0,-2.00356306746938,10.2000456588606,42,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,55,88,10,0,left,1,-2.13017599689432,10.0116660330582,45,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,56,100,10,0,left,1,-2.24394509490656,9.84061863357252,50,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,57,100,10,1,left,1,-2.3467639046455,9.68451432319187,43,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,58,96,-10,0,right,0,-2.15301557432137,9.50389525472792,49,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,59,-99,-10,0,left,1,-2.85342737310421,10.1693752148101,45,45
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,60,100,10,0,right,0,-2.04693930849775,11.4668612522883,40,42
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,61,-98,-20,1,right,0,-1.97666696794245,11.316911479063,40,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,62,-104,-100,1,right,0,-1.97666091520071,11.3168213066976,42,44
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,63,-101,10,0,left,1,-2.10288728065383,11.1314640752888,43,48
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,64,-97,-20,0,right,0,-2.03868909650285,11.001098871072,42,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,65,99,10,0,left,1,-2.15402879279621,10.836581094527,45,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,66,105,10,0,left,1,-2.25997222291809,10.6843907907285,47,46
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,67,-90,-20,0,right,0,-2.20104341306194,10.5750864136344,47,47
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,68,105,-10,1,right,0,-2.02019212802355,10.4144869004506,48,49
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,69,-100,10,0,left,1,-2.11812643422838,10.2805729724564,42,41
ghost_,a,Left,0,27-Jul-2022 07:56:50,645.1962548,70,96,-10,0,right,0,-1.95031093774149,10.131607590925,49,42
