SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_13,b,Left,0.16045648835194,1,-51,40,l,1
AFCdata_13,b,Left,0.16045648835194,2,37,0,l,1
AFCdata_13,b,Left,0.16045648835194,3,10,-20,r,0
AFCdata_13,b,Left,0.16045648835194,4,-45,20,l,1
AFCdata_13,b,Left,0.16045648835194,5,72,30,l,1
AFCdata_13,b,Left,0.16045648835194,6,-102,-40,r,0
AFCdata_13,b,Left,0.16045648835194,7,16,10,l,1
AFCdata_13,b,Left,0.16045648835194,8,-3,-10,l,1
AFCdata_13,b,Left,0.16045648835194,9,-26,-30,r,0
AFCdata_13,b,Left,0.16045648835194,10,42,20,l,1
AFCdata_13,b,Left,0.16045648835194,11,78,40,l,1
AFCdata_13,b,Left,0.16045648835194,12,-73,-20,r,0
AFCdata_13,b,Left,0.16045648835194,13,-86,0,l,1
AFCdata_13,b,Left,0.16045648835194,14,17,10,l,1
AFCdata_13,b,Left,0.16045648835194,15,-49,-30,r,0
AFCdata_13,b,Left,0.16045648835194,16,51,30,l,1
AFCdata_13,b,Left,0.16045648835194,17,22,-40,r,0
AFCdata_13,b,Left,0.16045648835194,18,-44,-10,l,1
AFCdata_13,b,Left,0.16045648835194,19,-36,-20,r,0
AFCdata_13,b,Left,0.16045648835194,20,-17,20,l,1
AFCdata_13,b,Left,0.16045648835194,21,3,0,l,1
AFCdata_13,b,Left,0.16045648835194,22,-9,10,l,1
AFCdata_13,b,Left,0.16045648835194,23,-39,30,l,1
AFCdata_13,b,Left,0.16045648835194,24,-65,-10,r,0
AFCdata_13,b,Left,0.16045648835194,25,-23,40,l,1
AFCdata_13,b,Left,0.16045648835194,26,-29,-40,r,0
AFCdata_13,b,Left,0.16045648835194,27,34,-30,r,0
AFCdata_13,b,Left,0.16045648835194,28,-51,0,l,1
AFCdata_13,b,Left,0.16045648835194,29,7,30,l,1
AFCdata_13,b,Left,0.16045648835194,30,-8,40,l,1
AFCdata_13,b,Left,0.16045648835194,31,50,-40,r,0
