SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_26,a,Left,0,1,24,30,l,1
AFCdata_26,a,Left,0,2,78,20,r,0
AFCdata_26,a,Left,0,3,-4,-20,r,0
AFCdata_26,a,Left,0,4,-11,10,r,0
AFCdata_26,a,Left,0,5,-39,40,l,1
AFCdata_26,a,Left,0,6,36,0,r,0
AFCdata_26,a,Left,0,7,-31,-30,r,0
AFCdata_26,a,Left,0,8,-29,-40,r,0
AFCdata_26,a,Left,0,9,33,-10,r,0
AFCdata_26,a,Left,0,10,-21,40,l,1
AFCdata_26,a,Left,0,11,0,0,r,0
AFCdata_26,a,Left,0,12,-27,-20,r,0
AFCdata_26,a,Left,0,13,-115,-40,r,0
AFCdata_26,a,Left,0,14,31,-30,r,0
AFCdata_26,a,Left,0,15,-12,-10,r,0
AFCdata_26,a,Left,0,16,64,20,r,0
AFCdata_26,a,Left,0,17,13,10,r,0
AFCdata_26,a,Left,0,18,-48,30,l,1
AFCdata_26,a,Left,0,19,-30,-30,r,0
AFCdata_26,a,Left,0,20,-80,0,r,0
AFCdata_26,a,Left,0,21,-28,20,l,1
AFCdata_26,a,Left,0,22,40,40,l,1
AFCdata_26,a,Left,0,23,52,-10,r,0
AFCdata_26,a,Left,0,24,69,30,l,1
AFCdata_26,a,Left,0,25,10,10,r,0
AFCdata_26,a,Left,0,26,40,-20,r,0
AFCdata_26,a,Left,0,27,-41,-40,r,0
AFCdata_26,a,Left,0,28,12,10,l,1
AFCdata_26,a,Left,0,29,-14,-10,r,0
AFCdata_26,a,Left,0,30,3,-30,r,0
AFCdata_26,a,Left,0,31,-20,-20,r,0
AFCdata_26,a,Left,0,32,57,-40,r,0
AFCdata_26,a,Left,0,33,66,30,l,1
AFCdata_26,a,Left,0,34,0,20,l,1
AFCdata_26,a,Left,0,35,-46,0,r,0
AFCdata_26,a,Left,0,36,77,40,l,1
AFCdata_26,a,Left,0,37,20,20,r,0
AFCdata_26,a,Left,0,38,-40,-40,r,0
AFCdata_26,a,Left,0,39,42,0,r,0
AFCdata_26,a,Left,0,40,1,30,r,0
AFCdata_26,a,Left,0,41,-10,-10,r,0
AFCdata_26,a,Left,0,42,47,10,r,0
AFCdata_26,a,Left,0,43,-41,-30,r,0
AFCdata_26,a,Left,0,44,18,-20,r,0
AFCdata_26,a,Left,0,45,66,40,l,1
AFCdata_26,a,Left,0,46,-23,-10,r,0
AFCdata_26,a,Left,0,47,30,30,l,1
AFCdata_26,a,Left,0,48,-82,0,r,0
AFCdata_26,a,Left,0,49,58,40,l,1
AFCdata_26,a,Left,0,50,-24,-30,r,0
AFCdata_26,a,Left,0,51,51,20,r,0
AFCdata_26,a,Left,0,52,-33,10,r,0
AFCdata_26,a,Left,0,53,-49,-20,r,0
AFCdata_26,a,Left,0,54,-45,-40,r,0
AFCdata_26,a,Left,0,55,-28,-20,r,0
AFCdata_26,a,Left,0,56,54,30,r,0
AFCdata_26,a,Left,0,57,2,10,r,0
AFCdata_26,a,Left,0,58,-46,-30,r,0
AFCdata_26,a,Left,0,59,23,-10,r,0
AFCdata_26,a,Left,0,60,2,-40,r,0
AFCdata_26,a,Left,0,61,3,20,l,1
AFCdata_26,a,Left,0,62,23,40,l,1
AFCdata_26,a,Left,0,63,12,0,r,0
AFCdata_26,a,Left,0,64,63,-30,r,0
AFCdata_26,a,Left,0,65,-55,-40,r,0
AFCdata_26,a,Left,0,66,53,30,r,0
AFCdata_26,a,Left,0,67,32,-20,r,0
AFCdata_26,a,Left,0,68,23,20,r,0
AFCdata_26,a,Left,0,69,-36,-0,r,0
AFCdata_26,a,Left,0,70,23,-10,r,0
AFCdata_26,a,Left,0,71,-3,40,l,1
AFCdata_26,a,Left,0,72,46,10,r,0
AFCdata_26,a,Left,0,73,3,30,l,1
AFCdata_26,a,Left,0,74,-47,-0,r,0
AFCdata_26,a,Left,0,75,-48,-30,r,0
AFCdata_26,a,Left,0,76,13,10,r,0
AFCdata_26,a,Left,0,77,-65,-10,l,1
AFCdata_26,a,Left,0,78,65,-40,r,0
AFCdata_26,a,Left,0,79,-117,-20,r,0
AFCdata_26,a,Left,0,80,-50,40,l,1
AFCdata_26,a,Left,0,81,20,20,r,0
AFCdata_26,a,Left,0,82,49,-0,r,0
AFCdata_26,a,Left,0,83,24,20,r,0
AFCdata_26,a,Left,0,84,-33,-30,r,0
AFCdata_26,a,Left,0,85,50,10,r,0
AFCdata_26,a,Left,0,86,-46,-10,r,0
AFCdata_26,a,Left,0,87,62,30,l,1
AFCdata_26,a,Left,0,88,85,40,l,1
AFCdata_26,a,Left,0,89,-38,-20,r,0
AFCdata_26,a,Left,0,90,-40,-40,r,0
AFCdata_26,a,Left,0,91,56,40,l,1
AFCdata_26,a,Left,0,92,-87,20,r,0
AFCdata_26,a,Left,0,93,12,-0,r,0
AFCdata_26,a,Left,0,94,-26,-20,r,0
AFCdata_26,a,Left,0,95,-1,-10,r,0
AFCdata_26,a,Left,0,96,30,30,l,1
AFCdata_26,a,Left,0,97,27,-30,r,0
AFCdata_26,a,Left,0,98,35,-40,r,0
AFCdata_26,a,Left,0,99,-6,10,l,1
AFCdata_26,a,Left,0,100,-11,-30,r,0
AFCdata_26,a,Left,0,101,58,30,l,1
AFCdata_26,a,Left,0,102,98,-0,r,0
AFCdata_26,a,Left,0,103,40,40,l,1
AFCdata_26,a,Left,0,104,9,-20,r,0
AFCdata_26,a,Left,0,105,-62,20,r,0
AFCdata_26,a,Left,0,106,5,10,r,0
AFCdata_26,a,Left,0,107,4,-40,r,0
AFCdata_26,a,Left,0,108,-14,-10,r,0
AFCdata_26,a,Left,0,109,45,40,l,1
AFCdata_26,a,Left,0,110,-48,-40,r,0
AFCdata_26,a,Left,0,111,10,10,r,0
AFCdata_26,a,Left,0,112,-10,-10,r,0
AFCdata_26,a,Left,0,113,18,30,r,0
AFCdata_26,a,Left,0,114,-0,-0,r,0
AFCdata_26,a,Left,0,115,24,-20,r,0
AFCdata_26,a,Left,0,116,-44,-30,r,0
AFCdata_26,a,Left,0,117,60,20,l,1
AFCdata_26,a,Left,0,118,-3,40,l,1
AFCdata_26,a,Left,0,119,32,-10,r,0
AFCdata_26,a,Left,0,120,-20,-20,r,0
AFCdata_26,a,Left,0,121,-31,30,l,1
