SID,Test,TestLimb,BslDiff,StartTime,TestLen,Trial_num,AllStarts,AllStims,SelectedStims,AllResponses,BinaryResponses,Alpha_EV,Beta_EV,StartSpeeds,StimSpeeds
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,1,12,-12,0,left,1,-24.1523471418346,19.0872038337567,26,17
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,2,-42,-22,0,right,0,-18.8376027720908,18.2103614754209,28,18
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,3,-40,-22,0,right,0,-16.4864603560478,9.46337753175277,25,28
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,4,-18,-12,0,left,1,-16.8797001065325,3.02448656954323,28,23
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,5,-17,-12,0,right,0,-14.9908312692419,5.43064257376608,16,13
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,6,-117,-22,0,left,1,-15.8026721647089,10.2510660298065,29,13
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,7,-93,-112,1,right,0,-16.0134574357201,11.7047644197837,28,23
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,8,8,-2,0,left,1,-16.3629976355437,11.2550293046124,25,25
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,9,58,-2,0,left,1,-16.6612856070087,10.223139187469,17,26
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,10,-65,-52,1,right,0,-16.8015253036957,9.58296859921859,26,27
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,11,-46,-32,0,right,0,-16.8363959877062,9.05590925751119,12,21
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,12,4,-32,0,right,0,-16.8315351322774,8.66254727316878,24,11
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,13,57,-32,0,right,0,-16.8127821345471,8.36585737669659,14,18
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,14,106,-12,1,right,0,-16.5759674863009,8.43999503290421,16,14
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,15,-122,-22,0,right,0,-16.3140990329559,8.40454796955434,19,29
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,16,10,-22,0,right,0,-16.0468196199811,8.30857611694762,20,22
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,17,27,-2,0,right,0,-15.4903971745032,9.07057300158589,21,12
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,18,20,-2,0,right,0,-14.7153175256553,10.2571111502189,21,17
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,19,44,8,1,right,0,-13.5638792666283,12.4792243866813,21,16
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,20,-64,-2,0,left,1,-12.627943186296,14.0209134953734,23,11
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,21,41,8,0,left,1,-11.8743654247222,15.093639626183,28,25
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,22,47,8,0,right,0,-10.8522418905764,16.7552404604752,15,14
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,23,-84,8,0,left,1,-10.0505903605097,17.9055975688057,29,12
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,24,103,8,1,right,0,-9.04981578939416,19.441655190822,23,28
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,25,59,78,1,left,1,-8.20093803344729,20.6513739647029,21,28
PSItest_29,a,Left,11.7871217926797,05-Jul-2022 14:15:36,839.3693387,26,68,88,1,left,1,-7.47348102053158,21.6238640915056,13,11
