SID,Test,TestLimb,BslDiff,StartTime,TestLen,Trial_num,AllStarts,AllStims,SelectedStims,AllResponses,BinaryResponses,Alpha_EV,Beta_EV,StartSpeeds,StimSpeeds
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,1,-74,-4,0,right,0,8.15234714183464,19.0872038337567,13,18
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,2,49,6,0,left,1,2.83760277209084,18.2103614754209,16,18
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,3,90,6,0,left,1,0.486460356047773,9.46337753175277,24,24
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,4,-84,-4,0,right,0,0.879700106532455,3.02448656954323,28,27
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,5,-53,-4,0,right,0,0.999339999832969,1.42184062956472,27,26
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,6,-8,6,0,right,0,2.95405028826888,3.1063299338512,12,18
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,7,159,96,1,left,1,3.43864105994552,3.11581061829926,25,23
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,8,82,36,1,left,1,3.73354101996922,3.05002634745932,19,25
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,9,9,6,0,left,1,3.84566484867886,2.9241962625182,14,23
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,10,-13,6,0,right,0,4.12821355082976,2.9891032277099,16,10
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,11,73,6,0,left,1,4.25248572234952,2.97328419091038,13,15
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,12,31,6,0,left,1,4.29325063906156,2.91481719237079,17,24
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,13,33,36,1,left,1,4.32946154660195,2.86341597116624,11,13
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,14,-37,6,0,right,0,4.44032404453158,2.88150882958475,15,18
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,15,-9,6,0,left,1,4.49697721381508,2.86124953561771,23,27
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,16,76,6,0,left,1,4.51980168939143,2.8167496037904,15,24
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,17,88,6,0,left,1,4.52134764962823,2.75796952472778,26,21
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,18,-84,6,0,right,0,4.56597927156772,2.74276359389976,23,11
PSItest_30,b,Left,3.88851508156006,05-Jul-2022 16:21:14,913.4810481,19,-187,-94,1,right,0,4.60262293269158,2.72719741184774,17,28
